"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.953037060E-1,8.618755639E-2,1.340695322E-1,9.868474960E0,9.869761951E0
1.977002160E-1,7.661115378E-2,1.316754371E-1,9.858899117E0,9.860076038E0
2.000968310E-1,7.900525630E-2,1.197049394E-1,9.854109764E0,9.855153492E0
2.024943310E-1,8.858165890E-2,1.053403467E-1,9.846927643E0,9.847889485E0
2.048909970E-1,8.858165890E-2,1.101285368E-1,9.849322319E0,9.850336296E0
2.072873510E-1,8.139935881E-2,1.244931296E-1,9.866081238E0,9.867202409E0
2.096842790E-1,7.421706617E-2,1.316754371E-1,9.858899117E0,9.860057727E0
2.120811010E-1,8.618755639E-2,1.340695322E-1,9.854109764E0,9.855398631E0
2.144784970E-1,1.005521491E-1,1.220990419E-1,9.875657082E0,9.876923696E0
2.168754240E-1,9.815804660E-2,1.220990419E-1,9.878050804E0,9.879293035E0
2.192717790E-1,9.576395154E-2,1.316754371E-1,9.875657082E0,9.876999137E0
2.216689140E-1,9.097574651E-2,1.316754371E-1,9.870868683E0,9.872166103E0
2.240656330E-1,8.379345387E-2,1.244931296E-1,9.875657082E0,9.876797187E0
2.264619870E-1,8.858165890E-2,1.292813420E-1,9.866081238E0,9.867325847E0
2.288589660E-1,8.858165890E-2,1.316754371E-1,9.854109764E0,9.855387581E0
2.312558930E-1,8.379345387E-2,1.292813420E-1,9.863686562E0,9.864889639E0
2.336529240E-1,7.661115378E-2,1.268872321E-1,9.866081238E0,9.867194567E0
2.360495390E-1,8.139935881E-2,1.173108369E-1,9.866081238E0,9.867114405E0
2.384457370E-1,1.005521491E-1,1.173108369E-1,9.866081238E0,9.867290994E0
2.408427680E-1,9.576395154E-2,1.244931296E-1,9.868474960E0,9.869724784E0
2.432394870E-1,8.379345387E-2,1.244931296E-1,9.868474960E0,9.869615896E0
2.456362060E-1,8.858165890E-2,1.197049394E-1,9.873263359E0,9.874386327E0
2.480337060E-1,8.618755639E-2,1.292813420E-1,9.870868683E0,9.872091496E0
2.504310490E-1,8.379345387E-2,1.460400373E-1,9.866081238E0,9.867517825E0
2.528285490E-1,7.900525630E-2,1.340695322E-1,9.870868683E0,9.872095270E0
2.552253200E-1,7.900525630E-2,1.173108369E-1,9.846927643E0,9.847943322E0
