"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
4.211730920E-1,1.211149618E-2,-8.850514889E-3,-7.532119751E-3,1.678549319E-2
4.259448630E-1,7.262196392E-3,-1.662820578E-3,-9.807586670E-3,1.231638035E-2
4.307158010E-1,-4.653021693E-3,-1.657888293E-3,-4.959106445E-3,6.999424348E-3
4.354859570E-1,-2.204772085E-3,3.078624606E-3,-1.673126221E-2,1.715441880E-2
4.402569470E-1,4.918422550E-3,5.422756076E-3,-1.180267334E-2,1.388885387E-2
4.450286650E-1,-4.634030163E-3,-1.725643873E-3,2.532005310E-3,5.555459767E-3
4.497996550E-1,4.856605083E-3,6.745308638E-4,-2.230644226E-3,5.386778117E-3
4.545698110E-1,1.190285385E-2,3.019288182E-3,-4.572868347E-3,1.310363140E-2
4.593407490E-1,-2.463988960E-3,5.338534713E-3,-9.257316589E-3,1.096672717E-2
4.641125200E-1,-1.190929487E-2,5.293548107E-3,-9.155273438E-3,1.592708346E-2
4.688834570E-1,-9.413436055E-3,2.910166979E-3,-4.320144653E-3,1.075850826E-2
4.736536130E-1,1.599825919E-4,-1.844167709E-3,-6.641387939E-3,6.894532815E-3
4.784246030E-1,7.262505591E-3,5.579143763E-4,-8.939743042E-3,1.153144664E-2
4.831963220E-1,4.930049181E-5,-1.803010702E-3,-1.358222961E-2,1.370146851E-2
4.879673110E-1,-7.059913129E-3,-6.508842111E-3,-1.581096649E-2,1.849848806E-2
4.927374670E-1,-4.647772759E-3,-4.058480263E-3,-1.430511475E-3,6.333989007E-3
4.975084570E-1,-2.260304987E-3,7.359385490E-4,-3.785133362E-3,4.469655328E-3
5.022801760E-1,9.610448033E-3,3.083869815E-3,-8.486747742E-3,1.318695763E-2
5.070511130E-1,7.142953575E-3,-1.673609018E-3,-3.661155701E-3,8.199195935E-3
5.118213220E-1,-4.780519754E-3,6.984621286E-4,-8.365631104E-3,9.660486645E-3
5.165922590E-1,-1.181746647E-2,6.481558084E-4,-3.540992737E-3,1.235359256E-2
5.213639780E-1,-6.962247193E-3,-1.743718982E-3,-3.506660461E-3,7.988123024E-3
5.261349670E-1,2.558927983E-3,-1.713097095E-3,-1.295661926E-2,1.331753719E-2
5.309051240E-1,2.532891929E-3,-4.082635045E-3,-1.046276093E-2,1.151315841E-2
5.356761130E-1,7.279213518E-3,-1.715764403E-3,-5.620002747E-3,9.354957392E-3
5.404478320E-1,9.610116482E-3,6.856918335E-4,-3.195762634E-3,1.015073450E-2
5.452187700E-1,7.119104266E-3,-1.678720117E-3,1.577377319E-3,7.482503992E-3
5.499889780E-1,4.680436105E-3,5.466789007E-3,1.563072205E-3,7.364472751E-3
5.547599150E-1,-7.224567235E-3,5.402192473E-3,1.548767090E-3,9.152963167E-3
5.595316860E-1,-1.190576702E-2,-4.151314497E-3,-5.581855774E-3,1.378904690E-2
5.643026240E-1,-4.682961851E-3,-8.874282241E-3,-3.159523010E-3,1.051977199E-2
5.690728320E-1,2.475991845E-3,-6.380692124E-3,-7.878303528E-3,1.043606411E-2
5.738437700E-1,7.199682295E-3,8.080899715E-4,-1.492881775E-2,1.659391557E-2
5.786154880E-1,-2.385716885E-3,8.147656918E-4,-1.242446899E-2,1.267765428E-2
5.833864780E-1,-1.188866049E-2,5.511492491E-3,-5.196571350E-3,1.409684899E-2
5.881566340E-1,2.425543964E-3,7.823109627E-3,-5.151748657E-3,9.675992041E-3
5.929276240E-1,4.778016359E-3,6.773620844E-4,-7.483482361E-3,8.904536370E-3
5.976993420E-1,-1.176446676E-5,-4.062399268E-3,-7.420539856E-3,8.459765834E-3
6.024702800E-1,2.333249897E-3,7.332712412E-4,-1.448154449E-2,1.468662224E-2
6.072404880E-1,2.341467887E-3,-1.633450389E-3,-1.436042786E-2,1.464146578E-2
6.120114260E-1,-5.297735333E-5,-6.383016706E-3,-1.424121857E-2,1.560634535E-2
6.167831970E-1,7.068242878E-3,8.064657450E-4,-9.372711182E-3,1.176682452E-2
6.215541340E-1,4.605516791E-3,3.216058016E-3,-6.921768188E-3,8.914296884E-3
6.263242900E-1,6.940495223E-3,8.286386728E-4,-4.488945007E-3,8.307089940E-3
6.310952800E-1,1.403233036E-2,-3.941282630E-3,-4.451751709E-3,1.524001632E-2
6.358669990E-1,1.154001430E-2,8.250921965E-4,-6.789207458E-3,1.341439693E-2
6.406379880E-1,4.320621490E-3,3.177464008E-3,-4.358291626E-3,6.910770831E-3
6.454081450E-1,6.685979664E-3,-3.986194730E-3,-6.696701050E-3,1.026829477E-2
6.501790820E-1,-4.645138979E-4,-6.342023611E-3,-6.640434265E-3,9.194150525E-3
6.549508530E-1,-2.836015075E-3,-1.584112644E-3,-8.957862854E-3,9.528677835E-3
6.597217900E-1,1.934688538E-3,-3.959789872E-3,-1.363277435E-2,1.432743844E-2
6.644919990E-1,-4.568137228E-4,-6.315678358E-3,-1.589298248E-2,1.710799124E-2
6.692629360E-1,1.919038594E-3,3.247573972E-3,-6.263732910E-3,7.311894132E-3
6.740346550E-1,-2.818461508E-3,3.234386444E-3,3.284454346E-3,5.403019645E-3
6.788056450E-1,-2.796638757E-3,-1.526996493E-3,-1.490592957E-3,3.517779696E-3
6.835758010E-1,4.319436848E-3,3.276169300E-3,-6.227493286E-3,8.256663527E-3
6.883467900E-1,1.140422001E-2,8.011028171E-3,-1.426696777E-3,1.400957780E-2
6.931185090E-1,4.185073078E-3,5.555540323E-3,3.333091736E-3,7.712870119E-3
6.978894990E-1,1.746818423E-3,3.177091479E-3,3.304481506E-3,4.905597099E-3
7.026596550E-1,1.759041101E-3,3.164470196E-3,-3.844261169E-3,5.280761418E-3
7.074305920E-1,8.865162730E-3,-6.316155195E-3,-6.187438965E-3,1.252075587E-2
7.122023630E-1,1.588316634E-2,-8.623644710E-3,-1.800632477E-2,2.551215304E-2
7.169733010E-1,1.102929562E-2,-3.818064928E-3,-1.310825348E-2,1.755133303E-2
