"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.830994880E-1,-8.979707956E-3,5.744010210E-3,5.577278137E-2,5.678232075E-2
3.878703730E-1,4.173517227E-4,3.319412470E-3,7.779121399E-3,8.468022871E-3
3.926420920E-1,3.253519535E-4,7.956810296E-3,-4.901790619E-2,4.966056596E-2
3.974130300E-1,-2.042561769E-3,7.507055998E-4,-4.837322235E-2,4.842214636E-2
4.021831340E-1,-1.141262054E-2,3.032900393E-3,8.968353271E-3,1.482827545E-2
4.069540710E-1,-2.305650711E-2,1.955121011E-2,7.975673676E-2,8.529354838E-2
4.117257900E-1,-2.743700147E-2,2.874387056E-2,1.260251999E-1,1.321414021E-1
4.164966760E-1,-1.763866842E-2,1.654936373E-2,1.126289368E-1,1.151967077E-1
4.212668320E-1,-1.032911241E-2,2.142056823E-3,5.448913574E-2,5.550085481E-2
4.260377690E-1,-1.014813781E-2,-2.078860998E-4,1.835250854E-2,2.097242207E-2
4.308094360E-1,-1.461578906E-2,4.566937685E-3,1.577377319E-3,1.539371069E-2
4.355803730E-1,-2.379150689E-2,1.168101281E-2,1.338863373E-2,2.969406293E-2
4.403505300E-1,-2.106170356E-2,1.155767590E-2,4.872226715E-2,5.432342538E-2
4.451214150E-1,-1.366244256E-2,6.704859436E-3,7.891654968E-2,8.037063699E-2
4.498931340E-1,-1.111195982E-2,-1.226301491E-2,1.087760925E-1,1.100277033E-1
4.546640190E-1,-1.093035936E-2,-2.631163597E-2,9.570598602E-2,9.985695120E-2
4.594341760E-1,-8.356288075E-3,-3.547069430E-2,5.675792694E-2,6.744968477E-2
4.642051130E-1,1.318842173E-3,-3.976971656E-2,-6.904602051E-4,3.979756821E-2
4.689767800E-1,6.124049425E-3,-3.458299488E-2,-5.277252197E-2,6.339106082E-2
4.737477170E-1,1.321734488E-2,-2.945684269E-2,-4.035663605E-2,5.168231671E-2
4.785178730E-1,1.315931976E-2,-2.675763518E-2,2.402400970E-2,3.829218953E-2
4.832887590E-1,-1.079589128E-3,-1.935227215E-2,6.403827667E-2,6.690722554E-2
4.880604780E-1,3.753691912E-3,-2.618417144E-2,6.336593628E-2,6.866544194E-2
4.928314150E-1,1.561632752E-2,-4.961668327E-2,2.243137360E-2,5.664672511E-2
4.976015190E-1,1.311309636E-2,-5.619931221E-2,-4.414176941E-2,7.265543198E-2
5.023724570E-1,1.306319237E-2,-4.376410693E-2,-9.345436096E-2,1.040176025E-1
5.071441760E-1,1.541383564E-2,-3.142984957E-2,-1.019868851E-1,1.078273922E-1
5.119150610E-1,1.066052914E-2,-2.636111900E-2,-6.303977966E-2,6.915612262E-2
5.166852170E-1,1.214787364E-3,-2.608528361E-2,-1.737403870E-2,3.136518691E-2
5.214561550E-1,-3.482446074E-3,-4.000997543E-2,8.873939514E-3,4.112994490E-2
5.262278210E-1,1.348778605E-3,-4.434911907E-2,-1.492023468E-2,4.681107741E-2
5.309987590E-1,1.321841776E-2,-3.679532930E-2,-6.456851959E-2,7.548322031E-2
5.357689150E-1,1.311945915E-2,-3.645998612E-2,-1.161222458E-1,1.224166115E-1
5.405398010E-1,1.065111160E-2,-2.895957977E-2,-1.529703140E-1,1.560513390E-1
5.453115190E-1,1.297874749E-2,-1.204495132E-2,-1.420526505E-1,1.431519621E-1
5.500824570E-1,1.768635213E-2,-7.147669792E-3,-9.566879272E-2,9.755210985E-2
